phone_number,city,restoran_name,area
"set([u'01 6182 535', u'61 82 535'])",zagreb,Cydonia,bukovac
set([]),zagreb,GTi,zavrtnica
set([u'098 777 577']),zagreb,Vege fino za sve,bukovac
"set([u'040 365 177', u'1 55 89', u'01 5589 773'])",zagreb,Pyrus,zavrtnica
set([]),zagreb,R&B Food,bukovac
set([u'01 2352 775']),zagreb,Gableci i to,zavrtnica
set([u'095 359 8268']),zagreb,Krpice sa zeljem,bukovac
"set([u'097 777 95', u'097 777 9567'])",zagreb,Voćarna Mali vrt,zavrtnica
set([]),zagreb,Dalmistra,bukovac
"set([u'01 6182 535', u'61 82 535'])",zagreb,Cydonia,zavrtnica
set([u'01 6182 230']),zagreb,Trattoria Fretta Gusto,zavrtnica
set([u'091 574 0865']),zagreb,Food Harmony,zavrtnica
set([u'01 2922 414']),zagreb,Pizzeria Amfora,podsused
set([u'092 341 6447']),zagreb,Street food Carlito,podsused
"set([u'01 4840 619', u'047 421 136'])",zagreb,Pet Plus,podsused
set([u'095 897 7843']),zagreb,Mambo Catering,voltino
set([u'01 3704 787']),zagreb,Pizzeria Zagabria,podsused
"set([u'01 5619 990', u'01 561 99'])",zagreb,Zlatna Bula,voltino
set([u'01 3456 555']),zagreb,Zagi Pizzeria & Grill,podsused
set([]),zagreb,Pro.Cat. i Gastro,voltino
set([u'01 3025 888']),zagreb,Mrak Grill,podsused
set([u'092 341 6447']),zagreb,Street food Carlito,voltino
"set([u'097 777 95', u'097 777 9567'])",zagreb,Voćarna Mali vrt,podsused
set([]),zagreb,Zagy Pizza & Sandwich Bar,voltino
"set([u'63 10 000', u'01 6646 339'])",zagreb,Catering Rajnglica,podsused
set([u'01 5620 335']),zagreb,Kung Food,trnovcica
set([]),zagreb,Bistro To-Mi,voltino
set([u'098 777 577']),zagreb,Vege fino za sve,podsused
set([u'01 5560 107']),zagreb,Kebab Maksimir,trnovcica
set([u'01 3890 723']),zagreb,Marinero Grill Prečko,voltino
set([u'091 574 0865']),zagreb,Food Harmony,podsused
set([]),zagreb,Family Catering,ravnice
"set([u'01 8890 719', u'88 90 719'])",zagreb,Pizzeria Poma,trnovcica
set([]),zagreb,Kum,voltino
set([]),zagreb,R&B Food,podsused
"set([u'01 2323 377', u'099 576 0334'])",zagreb,Libertas,ravnice
set([u'385 91 461']),zagreb,Grill Bistro Tomislav,trnovcica
set([]),zagreb,Pizza & Grill Oliva,voltino
set([u'095 359 8268']),zagreb,Krpice sa zeljem,podsused
set([u'01 4810 850']),zagreb,Catering Milenium,gredice
set([u'035 441 244']),zagreb,King Kebab,ravnice
set([u'091 574 0865']),zagreb,Food Harmony,trnovcica
set([u'01 3095 555']),zagreb,Pizzeria Zlatna kuna,voltino
set([]),zagreb,Bistro Tanjurček,podsused
set([]),zagreb,Sombrero - Meksikanac,gredice
set([u'099 409 3434']),zagreb,Pizzeria Astro,ravnice
"set([u'040 365 177', u'1 55 89', u'01 5589 773'])",zagreb,Pyrus,trnovcica
set([u'01 3025 888']),zagreb,Mrak Grill,voltino
set([u'095 897 7843']),zagreb,Mambo Catering,gajevo
set([]),zagreb,Super Kebab,gredice
set([u'098 279 194']),zagreb,Pizzeria Čuki,ravnice
"set([u'097 777 95', u'097 777 9567'])",zagreb,Voćarna Mali vrt,trnovcica
set([u'01 3816 753']),zagreb,Pizzeria El Mundo,voltino
set([]),zagreb,Pro.Cat. i Gastro,gajevo
set([]),zagreb,Pizzeria Stross,gredice
set([u'01 3025 888']),zagreb,Mrak Grill,ravnice
set([u'095 359 8268']),zagreb,Krpice sa zeljem,trnovcica
set([u'01 3456 555']),zagreb,Zagi Pizzeria & Grill,voltino
set([]),zagreb,Sombrero - Meksikanac,gajevo
"set([u'01 6387 802', u'385 1 6387'])",zagreb,Bon Appetit Catering,gredice
set([]),zagreb,Pizzeria Stross,ravnice
"set([u'01 6182 535', u'61 82 535'])",zagreb,Cydonia,trnovcica
set([]),zagreb,Pizzeria Stross,voltino
set([]),zagreb,Pizza Bar,gajevo
"set([u'099 407 3274', u'01 2323 377', u'099 576 0334'])",zagreb,Libertas,gredice
set([u'01 2452 834']),zagreb,Favola Catering,ravnice
set([]),zagreb,Dalmistra,trnovcica
set([u'01 5560 979']),zagreb,Pizza-Boo,voltino
set([u'01 3097 447']),zagreb,Bistro To-Mi,gajevo
set([]),zagreb,Pro.Cat. i Gastro,gredice
"set([u'01 29 11', u'01 2911 047'])",zagreb,Side Bar Pizzeria,ravnice
set([]),zagreb,Restoran Avenija,trnovcica
set([u'01 6199 144']),zagreb,Pizza Slavonija,voltino
set([u'01 3890 723']),zagreb,Marinero Grill Prečko,gajevo
set([u'01 3025 888']),zagreb,Mrak Grill,gredice
set([u'01 2408 111']),zagreb,Restoran Kuhinja,ravnice
set([u'01 2352 775']),zagreb,Gableci i to,trnovcica
"set([u'01 2323 377', u'099 576 0334'])",zagreb,Libertas,voltino
"set([u'01 2323 377', u'099 576 0334'])",zagreb,Libertas,gajevo
set([]),zagreb,Kum,gredice
set([u'01 4618 052']),zagreb,Fast Food Filip,ravnice
set([]),zagreb,Pizza Bar,voltino
set([u'01 3816 753']),zagreb,Pizzeria El Mundo,gajevo
set([u'01 5516 264']),zagreb,Purger King,gredice
"set([u'01 8890 719', u'88 90 719'])",zagreb,Pizzeria Poma,ravnice
set([u'01 3704 787']),zagreb,Pizzeria Zagabria,voltino
set([u'01 4810 850']),zagreb,Catering Milenium,gajevo
"set([u'01 5619 990', u'01 561 99'])",zagreb,Zlatna Bula,gredice
set([u'385 51 324']),zagreb,Wok by Matija,ravnice
set([u'01 6170 864']),zagreb,Pizzeria Strossmayer,voltino
"set([u'01 6387 802', u'385 1 6387'])",zagreb,Bon Appetit Catering,gajevo
set([u'01 2922 414']),zagreb,Pizzeria Amfora,gredice
"set([u'099 838 1175', u'01 2917 704'])",zagreb,Pizzeria San Marco,ravnice
set([u'534 222 666']),zagreb,Pizzeria Enigma,voltino
set([]),zagreb,Kum,gajevo
"set([u'385 1 5584', u'01 5584 039'])",zagreb,Špajza,gredice
set([]),zagreb,Ani-Kebab,ravnice
set([]),zagreb,Super Kebab,voltino
set([u'01 3095 555']),zagreb,Pizzeria Zlatna kuna,gajevo
set([u'01 5620 335']),zagreb,Kung Food,gredice
"set([u'01 2316 438', u'01 231 64'])",zagreb,Pizzeria Gentleman,ravnice
set([u'01 5620 335']),zagreb,Kung Food,voltino
set([u'01 5620 335']),zagreb,Kung Food,gajevo
"set([u'2352 775 095', u'01 2352 775'])",zagreb,Gableci i to 2,gredice
set([u'385 91 461']),zagreb,Grill Bistro Tomislav,ravnice
set([]),zagreb,Sombrero - Meksikanac,voltino
set([u'01 6170 864']),zagreb,Pizzeria Strossmayer,gajevo
"set([u'097 777 95', u'097 777 9567'])",zagreb,Voćarna Mali vrt,gredice
"set([u'01 4846 922', u'01 4586 089'])",zagreb,Franky's Pizza Bar,ravnice
"set([u'385 1 5584', u'01 5584 039'])",zagreb,Špajza,voltino
set([u'01 3025 888']),zagreb,Mrak Grill,gajevo
set([]),zagreb,Bistro Tanjurček,gredice
set([u'01 2303 294']),zagreb,Pivnica Budweiser,ravnice
set([u'01 3730 373']),zagreb,Pizzeria S.O.S.,voltino
set([u'01 5516 264']),zagreb,Purger King,gajevo
"set([u'01 3090 991', u'385 1 3090'])",zagreb,Selski Kutak,gredice
set([u'01 5620 335']),zagreb,Kung Food,ravnice
"set([u'040 365 177', u'1 55 89', u'01 5589 773'])",zagreb,Pyrus,voltino
set([]),zagreb,Super Kebab,gajevo
set([]),zagreb,R&B Food,gredice
set([u'01 5560 107']),zagreb,Kebab Maksimir,ravnice
"set([u'2352 775 095', u'01 2352 775'])",zagreb,Gableci i to 2,voltino
set([u'01 6199 144']),zagreb,Pizza Slavonija,gajevo
set([u'098 777 577']),zagreb,Vege fino za sve,gredice
"set([u'234 34 34', u'01 2343 434'])",zagreb,Pizzeria Tomato - Bukovac,ravnice
"set([u'01 3090 991', u'385 1 3090'])",zagreb,Selski Kutak,voltino
set([]),zagreb,Pizzeria Stross,gajevo
set([u'095 359 8268']),zagreb,Krpice sa zeljem,gredice
set([u'01 400 32']),zagreb,Pizzeria i pečenjarnica XL,ravnice
set([u'098 777 577']),zagreb,Vege fino za sve,voltino
"set([u'385 1 5584', u'01 5584 039'])",zagreb,Špajza,gajevo
set([u'091 574 0865']),zagreb,Food Harmony,gredice
set([u'01 4616 649']),zagreb,MS Grill,ravnice
set([u'091 574 0865']),zagreb,Food Harmony,voltino
set([u'091 574 0865']),zagreb,Food Harmony,gajevo
set([u'091 574 0865']),zagreb,Food Harmony,ravnice
"set([u'097 777 95', u'097 777 9567'])",zagreb,Voćarna Mali vrt,voltino
set([u'098 777 577']),zagreb,Vege fino za sve,gajevo
"set([u'01 6182 535', u'61 82 535'])",zagreb,Cydonia,ravnice
"set([u'01 6182 535', u'61 82 535'])",zagreb,Cydonia,voltino
set([]),zagreb,Olla2,gajevo
set([u'091 762 5821']),zagreb,Brko i Brko,ravnice
set([]),zagreb,Dalmistra,voltino
set([u'095 359 8268']),zagreb,Krpice sa zeljem,gajevo
set([u'098 777 577']),zagreb,Vege fino za sve,ravnice
set([]),zagreb,Bistro Tanjurček,voltino
"set([u'097 777 95', u'097 777 9567'])",zagreb,Voćarna Mali vrt,gajevo
set([u'095 359 8268']),zagreb,Krpice sa zeljem,ravnice
set([]),zagreb,Olla2,voltino
"set([u'097 777 95', u'097 777 9567'])",zagreb,Voćarna Mali vrt,ravnice
set([]),zagreb,R&B Food,voltino
set([u'01 6192 178']),zagreb,Mostovi,ravnice
set([]),zagreb,GTi,voltino
"set([u'040 365 177', u'1 55 89', u'01 5589 773'])",zagreb,Pyrus,ravnice
set([u'095 359 8268']),zagreb,Krpice sa zeljem,voltino
"set([u'81 7 90', u'01 2990 299'])",zagreb,Pizzeria Verona Due,ravnice
set([]),zagreb,Dalmistra,ravnice
set([u'01 2352 775']),zagreb,Gableci i to,ravnice
set([u'01 3456 555']),zagreb,Zagi Pizzeria & Grill,stenjevec
set([u'01 2922 414']),zagreb,Pizzeria Amfora,stenjevec
set([u'01 3025 888']),zagreb,Mrak Grill,stenjevec
set([u'01 3816 753']),zagreb,Pizzeria El Mundo,stenjevec
set([u'01 3704 787']),zagreb,Pizzeria Zagabria,stenjevec
set([u'534 222 666']),zagreb,Pizzeria Enigma,stenjevec
set([u'01 6199 144']),zagreb,Pizza Slavonija,remetinec
set([u'01 5516 264']),zagreb,Purger King,stenjevec
set([u'01 5516 264']),zagreb,Purger King,remetinec
set([u'01 5620 335']),zagreb,Kung Food,stenjevec
set([]),zagreb,Super Kebab,remetinec
set([u'01 3890 723']),zagreb,Marinero Grill Prečko,stenjevec
"set([u'099 407 3274', u'01 2323 377', u'099 576 0334'])",zagreb,Libertas,remetinec
set([]),zagreb,Sombrero - Meksikanac,stenjevec
set([u'56 2 2207']),zagreb,Pizzeria Mezzanotte,remetinec
set([u'092 341 6447']),zagreb,Street food Carlito,stenjevec
set([u'01 4810 850']),zagreb,Catering Milenium,remetinec
set([u'01 3095 555']),zagreb,Pizzeria Zlatna kuna,stenjevec
set([]),zagreb,Sombrero - Meksikanac,remetinec
"set([u'097 777 95', u'097 777 9567'])",zagreb,Voćarna Mali vrt,stenjevec
set([u'035 441 244']),zagreb,King Kebab,ksaver
set([u'095 897 7843']),zagreb,Mambo Catering,remetinec
set([u'095 359 8268']),zagreb,Krpice sa zeljem,stenjevec
set([u'385 51 324']),zagreb,Wok by Matija,ksaver
set([u'01 4616 649']),zagreb,MS Grill,remetinec
set([u'091 574 0865']),zagreb,Food Harmony,stenjevec
set([u'01 3025 888']),zagreb,Mrak Grill,ksaver
set([]),zagreb,Pečenjara Tigrić RTL,remetinec
"set([u'63 10 000', u'01 6646 339'])",zagreb,Catering Rajnglica,stenjevec
set([u'385 91 461']),zagreb,Grill Bistro Tomislav,pescenica
"set([u'01 8890 719', u'88 90 719'])",zagreb,Pizzeria Poma,ksaver
set([u'01 5620 335']),zagreb,Kung Food,remetinec
set([]),zagreb,R&B Food,stenjevec
set([u'385 51 324']),zagreb,Wok by Matija,pescenica
set([]),zagreb,Zagy Pizza & Sandwich Bar,ksaver
set([]),zagreb,Pizzeria Stross,remetinec
set([u'098 777 577']),zagreb,Vege fino za sve,stenjevec
set([u'099 409 3434']),zagreb,Pizzeria Astro,pescenica
set([]),zagreb,Family Catering,ksaver
set([u'01 5560 979']),zagreb,Pizza-Boo,remetinec
set([u'01 3079 440']),zagreb,Grizli Catering,stenjevec
"set([u'234 34 34', u'01 2343 434'])",zagreb,Pizzeria Tomato - Bukovac,pescenica
set([u'385 91 461']),zagreb,Grill Bistro Tomislav,ksaver
set([u'01 3890 723']),zagreb,Marinero Grill Prečko,remetinec
set([]),zagreb,Bistro Tanjurček,stenjevec
set([u'01 5560 107']),zagreb,Kebab Maksimir,pescenica
set([u'01 5620 335']),zagreb,Kung Food,ksaver
set([u'01 6142 659']),zagreb,Paesano Ristorante Pizzeria,remetinec
set([]),zagreb,Famoso Food,stenjevec
set([u'035 441 244']),zagreb,King Kebab,pescenica
set([u'01 6170 864']),zagreb,Pizzeria Strossmayer,ksaver
"set([u'01 6182 535', u'61 82 535'])",zagreb,Cydonia,remetinec
"set([u'099 407 3274', u'01 2323 377', u'099 576 0334'])",zagreb,Libertas,pescenica
set([]),zagreb,Kitchen & Grill Plac,ksaver
set([u'091 574 0865']),zagreb,Food Harmony,remetinec
"set([u'01 5619 990', u'01 561 99'])",zagreb,Zlatna Bula,pescenica
"set([u'01 5619 990', u'01 561 99'])",zagreb,Zlatna Bula,ksaver
"set([u'01 3090 991', u'385 1 3090'])",zagreb,Selski Kutak,remetinec
"set([u'61 30 300', u'042 212 017'])",zagreb,Pizzeria Domenico,pescenica
"set([u'01 4846 922', u'01 4586 089'])",zagreb,Franky's Pizza Bar,ksaver
"set([u'097 777 95', u'097 777 9567'])",zagreb,Voćarna Mali vrt,remetinec
set([u'01 6199 144']),zagreb,Pizza Slavonija,pescenica
set([u'01 3704 787']),zagreb,Pizzeria Zagabria,ksaver
set([]),zagreb,Olla2,remetinec
set([u'01 2303 294']),zagreb,Pivnica Budweiser,pescenica
set([]),zagreb,Voćarna Ceker,ksaver
set([]),zagreb,R&B Food,remetinec
set([]),zagreb,Pizzeria Stross,pescenica
"set([u'2352 775 095', u'01 2352 775'])",zagreb,Gableci i to 2,ksaver
set([u'095 359 8268']),zagreb,Krpice sa zeljem,remetinec
"set([u'01 29 11', u'01 2911 047'])",zagreb,Side Bar Pizzeria,pescenica
set([]),zagreb,Dalmistra,ksaver
set([u'01 3079 440']),zagreb,Grizli Catering,remetinec
set([u'01 3025 888']),zagreb,Mrak Grill,pescenica
set([u'091 574 0865']),zagreb,Food Harmony,ksaver
set([u'098 777 577']),zagreb,Vege fino za sve,remetinec
set([u'01 5620 335']),zagreb,Kung Food,pescenica
set([u'098 777 577']),zagreb,Vege fino za sve,ksaver
"set([u'040 365 177', u'1 55 89', u'01 5589 773'])",zagreb,Pyrus,remetinec
set([u'01 2452 834']),zagreb,Favola Catering,pescenica
"set([u'01 6182 535', u'61 82 535'])",zagreb,Cydonia,ksaver
"set([u'2352 775 095', u'01 2352 775'])",zagreb,Gableci i to 2,remetinec
set([u'01 6132 150']),zagreb,Il Mondo,pescenica
set([u'095 359 8268']),zagreb,Krpice sa zeljem,ksaver
set([u'01 2408 111']),zagreb,Restoran Kuhinja,pescenica
set([u'01 4837 787']),zagreb,Bistro Kaptol,ksaver
"set([u'01 8890 719', u'88 90 719'])",zagreb,Pizzeria Poma,pescenica
set([]),zagreb,R&B Food,ksaver
set([u'01 4837 787']),zagreb,Bistro Kaptol,pescenica
set([u'091 762 5821']),zagreb,Brko i Brko,ksaver
set([u'01 6182 230']),zagreb,Trattoria Fretta Gusto,pescenica
"set([u'097 777 95', u'097 777 9567'])",zagreb,Voćarna Mali vrt,ksaver
set([u'091 762 5821']),zagreb,Brko i Brko,pescenica
set([]),zagreb,Dalmistra,pescenica
set([u'01 2352 775']),zagreb,Gableci i to,pescenica
set([u'091 574 0865']),zagreb,Food Harmony,pescenica
set([u'098 777 577']),zagreb,Vege fino za sve,pescenica
set([u'091 574 0865']),zagreb,Food Harmony,stupnik
"set([u'040 365 177', u'1 55 89', u'01 5589 773'])",zagreb,Pyrus,pescenica
set([]),zagreb,Restoran Avenija,pescenica
"set([u'097 777 95', u'097 777 9567'])",zagreb,Voćarna Mali vrt,pescenica
set([u'091 574 0865']),zagreb,Food Harmony,demerje
set([]),zagreb,R&B Food,pescenica
set([u'095 359 8268']),zagreb,Krpice sa zeljem,pescenica
"set([u'01 6182 535', u'61 82 535'])",zagreb,Cydonia,pescenica
set([u'01 6192 178']),zagreb,Mostovi,pescenica
set([]),zagreb,R&B Food,jezdovec
set([u'091 574 0865']),zagreb,Food Harmony,jezdovec
set([u'01 4810 850']),zagreb,Catering Milenium,cehi
set([u'091 574 0865']),zagreb,Food Harmony,cehi
set([]),zagreb,Pizza Bar,srednjaci
set([u'092 341 6447']),zagreb,Street food Carlito,srednjaci
set([u'01 2922 414']),zagreb,Pizzeria Amfora,srednjaci
set([]),zagreb,Pro.Cat. i Gastro,srednjaci
set([u'01 3816 753']),zagreb,Pizzeria El Mundo,srednjaci
"set([u'099 407 3274', u'01 2323 377', u'099 576 0334'])",zagreb,Libertas,srednjaci
set([]),zagreb,Super Kebab,srednjaci
set([u'01 5560 107']),zagreb,Kebab Maksimir,sesvete
set([u'01 6199 144']),zagreb,Pizza Slavonija,srednjaci
set([u'01 400 32']),zagreb,Pizzeria i pečenjarnica XL,sesvete
set([]),zagreb,Sombrero - Meksikanac,srednjaci
set([u'01 4616 649']),zagreb,MS Grill,sesvete
set([u'01 3890 723']),zagreb,Marinero Grill Prečko,srednjaci
set([u'01 5516 264']),zagreb,Purger King,sredisce
"set([u'097 777 95', u'097 777 9567'])",zagreb,Voćarna Mali vrt,sesvete
set([u'095 897 7843']),zagreb,Mambo Catering,srednjaci
set([u'01 6132 150']),zagreb,Il Mondo,sredisce
set([]),zagreb,Sombrero - Meksikanac,trg
set([u'091 574 0865']),zagreb,Food Harmony,sesvete
set([]),zagreb,Pizzeria Stross,srednjaci
set([u'385 91 461']),zagreb,Grill Bistro Tomislav,sredisce
set([u'01 3025 888']),zagreb,Mrak Grill,trg
set([u'095 359 8268']),zagreb,Krpice sa zeljem,sesvete
set([u'01 3025 888']),zagreb,Mrak Grill,srednjaci
set([u'01 4618 052']),zagreb,Fast Food Filip,sredisce
set([]),zagreb,Family Catering,trg
"set([u'040 365 177', u'1 55 89', u'01 5589 773'])",zagreb,Pyrus,sesvete
set([u'01 5560 107']),zagreb,Kebab Maksimir,srednjaci
set([u'01 5620 335']),zagreb,Kung Food,sredisce
set([u'095 169 6473']),zagreb,California Burrito bar,trg
set([u'01 6170 864']),zagreb,Pizzeria Strossmayer,srednjaci
set([]),zagreb,Pečenjara Tigrić RTL,sredisce
set([u'01 5560 107']),zagreb,Kebab Maksimir,trg
"set([u'01 6387 802', u'385 1 6387'])",zagreb,Bon Appetit Catering,srednjaci
set([u'01 4616 649']),zagreb,MS Grill,sredisce
"set([u'01 2323 377', u'099 576 0334'])",zagreb,Libertas,trg
set([u'01 3095 555']),zagreb,Pizzeria Zlatna kuna,srednjaci
set([u'61 18 831']),zagreb,Grill House Azzuro,sredisce
"set([u'099 838 1175', u'01 2917 704'])",zagreb,Pizzeria San Marco,trg
"set([u'385 1 5584', u'01 5584 039'])",zagreb,Špajza,srednjaci
set([u'01 6199 144']),zagreb,Pizza Slavonija,sredisce
set([]),zagreb,Pizzeria Stross,trg
set([u'385 91 461']),zagreb,Grill Bistro Tomislav,srednjaci
set([u'01 5560 979']),zagreb,Pizza-Boo,sredisce
set([u'385 91 461']),zagreb,Grill Bistro Tomislav,trg
set([u'01 2452 834']),zagreb,Favola Catering,srednjaci
set([u'01 6637 644']),zagreb,Bistro Mon Ami,sredisce
"set([u'234 34 34', u'01 2343 434'])",zagreb,Pizzeria Tomato - Bukovac,trg
set([u'01 5620 335']),zagreb,Kung Food,srednjaci
set([]),zagreb,Sombrero - Meksikanac,sredisce
"set([u'01 4846 922', u'01 4586 089'])",zagreb,Franky's Pizza Bar,trg
"set([u'01 5619 990', u'01 561 99'])",zagreb,Zlatna Bula,srednjaci
"set([u'61 30 300', u'042 212 017'])",zagreb,Pizzeria Domenico,sredisce
set([u'01 5620 335']),zagreb,Kung Food,trg
set([u'01 3704 787']),zagreb,Pizzeria Zagabria,srednjaci
set([]),zagreb,Pizzeria Stross,sredisce
set([u'01 6199 144']),zagreb,Pizza Slavonija,trg
set([]),zagreb,Kum,srednjaci
"set([u'01 5619 990', u'01 561 99'])",zagreb,Zlatna Bula,sredisce
"set([u'01 2316 438', u'01 231 64'])",zagreb,Pizzeria Gentleman,trg
set([u'01 5516 264']),zagreb,Purger King,srednjaci
set([]),zagreb,Kum,sredisce
"set([u'01 8890 719', u'88 90 719'])",zagreb,Pizzeria Poma,trg
set([u'01 4810 850']),zagreb,Catering Milenium,srednjaci
"set([u'01 2323 377', u'099 576 0334'])",zagreb,Libertas,sredisce
set([u'01 2452 834']),zagreb,Favola Catering,trg
set([u'098 777 577']),zagreb,Vege fino za sve,srednjaci
set([u'01 2922 414']),zagreb,Pizzeria Amfora,sredisce
set([u'099 409 3434']),zagreb,Pizzeria Astro,trg
set([]),zagreb,Simple Green,srednjaci
set([u'01 2452 834']),zagreb,Favola Catering,sredisce
set([u'01 6170 864']),zagreb,Pizzeria Strossmayer,trg
"set([u'2352 775 095', u'01 2352 775'])",zagreb,Gableci i to 2,srednjaci
set([u'01 6170 864']),zagreb,Pizzeria Strossmayer,sredisce
set([]),zagreb,Kitchen & Grill Plac,trg
"set([u'01 3090 991', u'385 1 3090'])",zagreb,Selski Kutak,srednjaci
set([u'01 6142 659']),zagreb,Paesano Ristorante Pizzeria,sredisce
set([u'01 4616 649']),zagreb,MS Grill,trg
set([]),zagreb,R&B Food,srednjaci
set([u'56 2 2207']),zagreb,Pizzeria Mezzanotte,sredisce
"set([u'01 5619 990', u'01 561 99'])",zagreb,Zlatna Bula,trg
"set([u'63 10 000', u'01 6646 339'])",zagreb,Catering Rajnglica,srednjaci
set([u'095 359 8268']),zagreb,Krpice sa zeljem,sredisce
set([u'035 441 244']),zagreb,King Kebab,trg
set([]),zagreb,Bistro Tanjurček,srednjaci
"set([u'040 365 177', u'1 55 89', u'01 5589 773'])",zagreb,Pyrus,sredisce
set([]),zagreb,Voćarna Ceker,trg
set([]),zagreb,Olla2,srednjaci
"set([u'2352 775 095', u'01 2352 775'])",zagreb,Gableci i to 2,sredisce
set([u'01 3704 787']),zagreb,Pizzeria Zagabria,trg
set([u'01 3079 440']),zagreb,Grizli Catering,srednjaci
"set([u'01 6182 535', u'61 82 535'])",zagreb,Cydonia,sredisce
set([u'098 279 194']),zagreb,Pizzeria Čuki,trg
set([]),zagreb,GTi,srednjaci
set([u'01 6111 309']),zagreb,Catering Anđeo,sredisce
set([u'01 2303 294']),zagreb,Pivnica Budweiser,trg
"set([u'040 365 177', u'1 55 89', u'01 5589 773'])",zagreb,Pyrus,srednjaci
set([u'01 2352 775']),zagreb,Gableci i to,sredisce
set([u'01 2408 111']),zagreb,Restoran Kuhinja,trg
"set([u'01 6182 535', u'61 82 535'])",zagreb,Cydonia,srednjaci
set([]),zagreb,R&B Food,sredisce
set([u'385 51 324']),zagreb,Wok by Matija,trg
set([u'095 359 8268']),zagreb,Krpice sa zeljem,srednjaci
set([u'098 777 577']),zagreb,Vege fino za sve,sredisce
set([u'01 4618 052']),zagreb,Fast Food Filip,trg
"set([u'097 777 95', u'097 777 9567'])",zagreb,Voćarna Mali vrt,srednjaci
set([u'091 762 5821']),zagreb,Brko i Brko,sredisce
set([u'01 4837 787']),zagreb,Bistro Kaptol,trg
set([u'091 574 0865']),zagreb,Food Harmony,srednjaci
"set([u'097 777 95', u'097 777 9567'])",zagreb,Voćarna Mali vrt,sredisce
"set([u'01 6182 535', u'61 82 535'])",zagreb,Cydonia,trg
